,Unnamed: 0,X,Y,Z
0,4,7.163,0.729358,-7.96989
1,5,7.17113,0.730105,-8.00033
2,6,7.17815,0.730928,-8.02729
3,7,7.18417,0.731829,-8.05092
4,8,7.18914,0.732784,-8.07077
5,9,7.19299,0.733824,-8.08705
6,10,7.19585,0.73493,-8.09973
7,11,7.19769,0.736099,-8.10837
8,12,7.19846,0.737359,-8.11307
9,13,7.1983,0.738681,-8.11333
10,14,7.19721,0.740073,-8.10894
11,15,7.19528,0.741532,-8.09964
12,16,7.19254,0.743075,-8.08519
13,17,7.18913,0.744652,-8.06514
14,18,7.1852,0.7463,-8.03912
15,19,7.18081,0.748026,-8.0069
16,20,7.17616,0.749799,-7.96813
17,21,7.17142,0.751653,-7.92268
18,22,7.16676,0.753547,-7.87016
19,23,7.16242,0.755515,-7.81068
20,24,7.15862,0.75755,-7.74408
21,25,7.15559,0.759637,-7.67088
22,26,7.15354,0.761814,-7.59102
23,27,7.15269,0.764075,-7.50529
24,28,7.15326,0.766425,-7.41426
25,29,7.15546,0.76886,-7.31854
26,30,7.15942,0.771406,-7.21938
27,31,7.16528,0.774065,-7.11772
28,32,7.17317,0.776868,-7.01452
29,33,7.18315,0.779806,-6.91114
30,34,7.19528,0.782904,-6.80887
31,35,7.20953,0.786177,-6.70876
32,36,7.22579,0.789643,-6.61195
33,37,7.24408,0.793309,-6.51964
34,38,7.26421,0.797183,-6.43255
35,39,7.28606,0.801261,-6.35167
36,40,7.3094,0.805568,-6.27735
37,41,7.3341,0.810079,-6.21027
38,42,7.35988,0.814798,-6.15074
39,43,7.38659,0.819683,-6.09877
40,44,7.41388,0.824739,-6.05443
41,45,7.44146,0.829948,-6.01776
42,46,7.46922,0.835256,-5.98828
43,47,7.49673,0.840655,-5.9661
44,48,7.52375,0.846119,-5.95073
45,49,7.54994,0.851594,-5.94186
46,50,7.57496,0.857115,-5.93934
47,51,7.59839,0.862629,-5.94281
48,52,7.62004,0.868105,-5.95199
49,53,7.63953,0.873542,-5.96644
50,54,7.65647,0.878923,-5.98605
51,55,7.67068,0.884221,-6.01038
52,56,7.68174,0.889435,-6.03938
53,57,7.68956,0.894546,-6.07266
54,58,7.69413,0.899518,-6.10988
55,59,7.6951,0.904361,-6.15089
56,60,7.6927,0.908985,-6.19525
57,61,7.68696,0.913431,-6.24299
58,62,7.67805,0.917626,-6.29384
59,63,7.66619,0.921597,-6.34773
60,64,7.65192,0.925306,-6.4041
61,65,7.63557,0.92876,-6.46298
62,66,7.61773,0.931948,-6.52412
63,67,7.59905,0.934864,-6.58715
64,68,7.58023,0.937539,-6.65139
65,69,7.56205,0.939987,-6.71666
66,70,7.54525,0.942214,-6.78221
67,71,7.53065,0.944241,-6.8473
68,72,7.51895,0.946095,-6.91125
69,73,7.51105,0.947757,-6.97334
70,74,7.50738,0.949257,-7.03242
71,75,7.5088,0.950593,-7.08774
72,76,7.51562,0.951772,-7.13862
73,77,7.52828,0.952792,-7.18404
74,78,7.54699,0.953632,-7.22348
75,79,7.57192,0.954287,-7.25617
76,80,7.60321,0.954746,-7.28164
77,81,7.64078,0.955011,-7.29913
78,82,7.68453,0.955049,-7.30856
79,83,7.73426,0.954856,-7.30957
80,84,7.78979,0.954437,-7.30205
81,85,7.8507,0.9538,-7.2859
82,86,7.91675,0.952927,-7.26143
83,87,7.9875,0.951827,-7.22887
84,88,8.06256,0.950531,-7.18845
85,89,8.14153,0.949031,-7.14085
86,90,8.22387,0.947359,-7.08654
87,91,8.30916,0.945507,-7.02613
88,92,8.39699,0.943476,-6.96032
89,93,8.48689,0.9413,-6.88975
90,94,8.57834,0.938917,-6.81513
91,95,8.67091,0.936344,-6.73709
92,96,8.76421,0.933515,-6.65622
93,97,8.85775,0.930344,-6.573
94,98,8.95107,0.926826,-6.48772
95,99,9.04381,0.922803,-6.40097
96,100,9.13544,0.918268,-6.31283
97,101,9.22569,0.91303,-6.22334
98,102,9.31418,0.907055,-6.13282
99,103,9.40041,0.900247,-6.04127
100,104,9.48422,0.892503,-5.94837
101,105,9.56519,0.883777,-5.85444
102,106,9.64314,0.874039,-5.75914
103,107,9.71769,0.863313,-5.66236
104,108,9.78867,0.851642,-5.56461
105,109,9.85588,0.839142,-5.46564
106,110,9.91916,0.825886,-5.36562
107,111,9.97829,0.812133,-5.26502
108,112,10.0332,0.79802,-5.16406
109,113,10.0837,0.783826,-5.0634
110,114,10.1298,0.769764,-4.96356
111,115,10.1713,0.756108,-4.86542
112,116,10.208,0.743143,-4.76953
113,117,10.2401,0.731087,-4.67683
114,118,10.2673,0.720173,-4.58825
115,119,10.2896,0.71063,-4.50474
116,120,10.3069,0.702659,-4.42696
117,121,10.3193,0.69636,-4.35554
118,122,10.3266,0.691857,-4.29126
119,123,10.3287,0.689202,-4.23471
120,124,10.3258,0.68836,-4.18608
121,125,10.3178,0.689311,-4.14597
