,X,Y,Z
4,-0.134716,0.367328,-12.5641
5,-0.131798,0.367126,-12.5727
6,-0.128758,0.366901,-12.5808
7,-0.125595,0.366669,-12.5883
8,-0.122301,0.366422,-12.5953
9,-0.118891,0.366157,-12.6018
10,-0.115358,0.365883,-12.6078
11,-0.111716,0.365599,-12.6132
12,-0.107957,0.365296,-12.6181
13,-0.104106,0.364983,-12.6225
14,-0.100161,0.36465,-12.6263
15,-0.0961379,0.364312,-12.6297
16,-0.0920444,0.363956,-12.6325
17,-0.0878938,0.363597,-12.6349
18,-0.0837134,0.363224,-12.6368
19,-0.0795095,0.362841,-12.6383
20,-0.0752989,0.362461,-12.6393
21,-0.0711078,0.362071,-12.6398
22,-0.0669586,0.361682,-12.64
23,-0.0628461,0.361292,-12.6397
24,-0.058818,0.360904,-12.6391
25,-0.0548809,0.360522,-12.638
26,-0.0510457,0.360152,-12.6366
27,-0.0473385,0.359792,-12.6349
28,-0.0437733,0.359446,-12.6329
29,-0.0403647,0.359115,-12.6305
30,-0.0371183,0.358801,-12.6279
31,-0.0340583,0.358511,-12.6249
32,-0.0311934,0.358243,-12.6217
33,-0.0285256,0.357999,-12.6182
34,-0.0260584,0.357781,-12.6145
35,-0.0238043,0.357591,-12.6105
36,-0.0217628,0.357421,-12.6063
37,-0.0199538,0.35728,-12.6019
38,-0.0183554,0.357165,-12.5972
39,-0.0169866,0.357068,-12.5924
40,-0.0158412,0.356998,-12.5874
41,-0.014914,0.356952,-12.5823
42,-0.0142185,0.356928,-12.5769
43,-0.0137387,0.356916,-12.5715
44,-0.0134791,0.356918,-12.5659
45,-0.0134521,0.356932,-12.5602
46,-0.0136445,0.356959,-12.5544
47,-0.0140596,0.35699,-12.5486
48,-0.0147241,0.357026,-12.5426
49,-0.0156042,0.357062,-12.5367
50,-0.0167446,0.357098,-12.5306
51,-0.0181207,0.357127,-12.5246
52,-0.0197675,0.357153,-12.5186
53,-0.0216895,0.357159,-12.5127
54,-0.0238984,0.35716,-12.5067
55,-0.026407,0.357147,-12.5009
56,-0.0292271,0.357114,-12.4951
57,-0.0323866,0.357068,-12.4895
58,-0.0358878,0.357,-12.484
59,-0.0397565,0.356913,-12.4786
60,-0.0439949,0.356806,-12.4734
61,-0.0486111,0.35668,-12.4683
62,-0.0536272,0.356529,-12.4634
63,-0.0590515,0.356365,-12.4587
64,-0.0648792,0.35618,-12.4542
65,-0.0711114,0.355978,-12.4499
66,-0.0777569,0.35576,-12.4457
67,-0.0848062,0.355536,-12.4418
68,-0.0922467,0.355297,-12.438
69,-0.100083,0.355048,-12.4344
70,-0.108277,0.354795,-12.431
71,-0.116834,0.354538,-12.4277
72,-0.125724,0.35428,-12.4245
73,-0.13492,0.35403,-12.4214
74,-0.144398,0.353784,-12.4185
75,-0.15412,0.35354,-12.4156
76,-0.164064,0.353315,-12.4129
77,-0.174196,0.353104,-12.4101
78,-0.184467,0.352906,-12.4074
79,-0.194837,0.352721,-12.4047
80,-0.205283,0.35257,-12.4021
81,-0.215748,0.35244,-12.3994
82,-0.226202,0.352337,-12.3966
83,-0.236595,0.352262,-12.3939
84,-0.24689,0.35221,-12.3911
85,-0.257058,0.352198,-12.3882
86,-0.267045,0.352207,-12.3853
87,-0.276841,0.352252,-12.3822
