,X
0,-0.6277315994753871
1,-1.0013580180335229
2,-0.707195715708111
3,-0.372896351223293
4,-0.7300717078144228
5,-1.0502196723239319
6,-1.3126046534324427
7,-1.5130764060699953
8,-1.7282781829499925
9,-1.9428979819421244
10,-2.0737205355558466
11,-2.028594565004507
12,-1.8638362637336208
13,-1.699920627905307
14,-1.6567953215201214
15,-1.674400832241929
16,-1.744263990141814
17,-1.8304699250658203
18,-1.9234459255603333
19,-2.0587495602896553
20,-2.198144828758693
21,-2.3837155745440555
22,-2.790831733886911
23,-2.8188132086940882
24,-2.786096914482556
25,-2.778220167125099
26,-2.7716539780715905
27,-2.8122755312119523
28,-2.9090971510484565
29,-3.0501784496354105
30,-3.187209714713127
31,-3.312311654657897
32,-3.415358807958846
33,-3.520161305184388
34,-3.6377187918976475
35,-3.7577721303833016
36,-3.861731150850254
37,-3.9608356476120505
38,-4.073664570167125
39,-4.180044549228519
40,-4.268282260912315
41,-4.349371893136556
42,-4.445026075327981
43,-4.546899231512839
44,-4.649345022679569
45,-4.761127764586384
46,-4.876386539513383
47,-4.9919821493826575
48,-5.104519395314682
49,-5.211728084565763
50,-5.311410895287956
51,-5.410381180600652
52,-5.511596244695198
53,-5.612307837267458
54,-5.71282432894909
55,-5.809719349429628
56,-5.899048675930459
57,-5.985381807681904
58,-6.071953502410068
59,-6.157988520342769
60,-6.2442948872807165
61,-6.3298318859637135
62,-6.407147781804383
63,-6.481269732941243
64,-6.546861481345758
65,-6.614479816101834
66,-6.683685670959818
67,-6.746038280421672
68,-6.805760616880448
69,-6.860250113091624
70,-6.903066072766748
71,-6.944117357044988
72,-6.982356154098326
73,-7.016670029659181
74,-7.046116758332204
75,-7.066447058423961
76,-7.0836141936406705
77,-7.102688091603753
78,-7.124071683911012
79,-7.137900436484458
80,-7.146376392453547
81,-7.151291151802269
82,-7.146595152760057
83,-7.134234667418141
84,-7.113336883447786
85,-7.081783760420279
86,-7.045639135193014
87,-7.0164395047240475
88,-7.004535585209297
89,-7.006770021967299
90,-7.021486420020565
91,-7.0384566496207555
92,-7.062519963019099
93,-7.083030550479634
94,-7.113362305789224
95,-7.154453045288889
96,-7.2095673161404505
97,-7.2701477309295655
98,-7.323735633860849
99,-7.3710464823357995
100,-7.409384955157208
101,-7.4404061844451945
102,-7.4752738159990315
103,-7.521232890035307
104,-7.573245491133562
105,-7.631300085265011
106,-7.689445933340082
107,-7.747186335941009
108,-7.8163337682012894
109,-7.895426735792299
110,-7.972890724738164
111,-8.049220025619135
112,-8.121904119030631
113,-8.185894891236373
114,-8.25340192208155
115,-8.32127022195894
116,-8.389190007681577
117,-8.453510454770978
118,-8.516171936854121
119,-8.576214626775538
120,-8.638229067685117
121,-8.692309019340513
122,-8.738187182947755
123,-8.778732156216222
124,-8.810883323122056
125,-8.853510178179945
126,-8.896792638601397
127,-8.925455608025942
128,-8.962864263628902
129,-9.000243219703066
130,-9.036569856236326
131,-9.07503133301681
132,-9.113643207013652
133,-9.155602711465988
134,-9.199806127785749
135,-9.249082157494513
136,-9.297702016596375
137,-9.355164787119477
138,-9.415113363226155
139,-9.470199479592722
140,-9.522518172574635
141,-9.578929636723089
142,-9.643466767229938
143,-9.707748379567803
144,-9.770993292302663
145,-9.838508051062277
146,-9.912940798274377
147,-9.990603371760002
148,-10.06878396685066
149,-10.152874577914616
150,-10.237866006712991
151,-10.33744270835632
152,-10.433841395518897
153,-10.535207028298402
154,-10.63420467356373
155,-10.731746896996071
156,-10.825812071825567
157,-10.919387562003052
158,-11.019368000604047
159,-11.120103376296626
160,-11.22469603575668
161,-11.342586857665225
162,-11.4587001103462
163,-11.569445860487505
164,-11.679255859272757
165,-11.795681381743549
166,-11.92249281932068
167,-12.058831199445493
168,-12.201138817346973
169,-12.346542096738943
170,-12.490176612632112
171,-12.626560931619593
172,-12.76012728888395
173,-12.879987495966262
174,-12.988943569629043
175,-13.085537323703022
176,-13.180608399027548
177,-13.274579537587002
178,-13.361019167243668
