,X,Y,Z
4,5.76865,4.23658,-2.3891
5,5.76902,4.23826,-2.38952
6,5.76892,4.23989,-2.3904
7,5.76862,4.24141,-2.39143
8,5.76799,4.24284,-2.3928
9,5.76716,4.24419,-2.39431
10,5.76599,4.24546,-2.39608
11,5.76456,4.24663,-2.39805
12,5.76284,4.24771,-2.40026
13,5.76078,4.24874,-2.40274
14,5.75851,4.24967,-2.40535
15,5.75592,4.25056,-2.40815
16,5.75312,4.25134,-2.41106
17,5.75005,4.25209,-2.41409
18,5.74664,4.25281,-2.41724
19,5.74308,4.25346,-2.42051
20,5.73928,4.25408,-2.42385
21,5.7352,4.25468,-2.42714
22,5.73093,4.25528,-2.43062
23,5.72648,4.25585,-2.4338
24,5.72183,4.25644,-2.43717
25,5.71704,4.25703,-2.44021
26,5.71203,4.25765,-2.44316
27,5.70685,4.25831,-2.44572
28,5.70165,4.25897,-2.44807
29,5.69615,4.25971,-2.44998
30,5.69063,4.26046,-2.45152
31,5.68495,4.26129,-2.45234
32,5.67908,4.26214,-2.4527
33,5.67312,4.26303,-2.45249
34,5.6669,4.264,-2.45166
35,5.66053,4.26499,-2.45014
36,5.6538,4.26603,-2.44809
37,5.64682,4.2671,-2.44566
38,5.63943,4.26822,-2.44276
39,5.63173,4.26935,-2.43951
40,5.62345,4.27052,-2.43592
41,5.61475,4.27171,-2.43258
42,5.6054,4.27292,-2.42929
43,5.59553,4.27416,-2.42621
44,5.58502,4.27542,-2.42371
45,5.57382,4.27671,-2.42185
46,5.56201,4.27801,-2.4207
47,5.54963,4.27933,-2.42033
48,5.53663,4.28067,-2.42114
49,5.52308,4.28203,-2.42293
50,5.5091,4.28338,-2.42566
51,5.49494,4.28471,-2.42928
52,5.48043,4.28603,-2.434
53,5.46587,4.28731,-2.43918
54,5.45137,4.28852,-2.44526
55,5.43721,4.28964,-2.45167
56,5.42339,4.29067,-2.45841
57,5.41022,4.29153,-2.46504
58,5.39783,4.29224,-2.47166
59,5.38648,4.29273,-2.47795
60,5.37616,4.29305,-2.48375
61,5.36722,4.29313,-2.48878
62,5.35974,4.29299,-2.49289
63,5.35395,4.29258,-2.49609
64,5.34983,4.29191,-2.49817
65,5.34754,4.291,-2.499
66,5.34725,4.2898,-2.49868
67,5.34886,4.28838,-2.49693
68,5.35252,4.28671,-2.49398
69,5.35829,4.28477,-2.48964
70,5.36601,4.28264,-2.48418
71,5.37583,4.28026,-2.47734
72,5.38756,4.27771,-2.46948
73,5.40122,4.27496,-2.4605
