,X,Y,Z
4,-2.02927,4.11855,-6.59719
5,-2.02229,4.11902,-6.59586
6,-2.01542,4.11955,-6.59461
7,-2.00861,4.12012,-6.59342
8,-2.0019,4.12073,-6.59231
9,-1.99527,4.12139,-6.59128
10,-1.98873,4.1221,-6.59033
11,-1.98228,4.12285,-6.58945
12,-1.97593,4.12365,-6.58868
13,-1.96966,4.12451,-6.58797
14,-1.96352,4.12539,-6.58736
15,-1.95749,4.12632,-6.58688
16,-1.95159,4.12729,-6.58648
17,-1.94582,4.12829,-6.58621
18,-1.94019,4.12932,-6.58605
19,-1.93474,4.13038,-6.58603
20,-1.92946,4.13146,-6.58614
21,-1.92439,4.13256,-6.58641
22,-1.91951,4.13366,-6.5868
23,-1.91486,4.13478,-6.58737
24,-1.91045,4.1359,-6.58808
25,-1.9063,4.13701,-6.58897
26,-1.90242,4.13811,-6.59001
27,-1.89882,4.13919,-6.59123
28,-1.8955,4.14026,-6.59262
29,-1.8925,4.14131,-6.59416
30,-1.88979,4.14233,-6.59586
31,-1.88739,4.14333,-6.59771
32,-1.8853,4.1443,-6.59969
33,-1.88349,4.14523,-6.60179
34,-1.882,4.14613,-6.604
35,-1.88079,4.14699,-6.60629
36,-1.87984,4.14783,-6.60867
37,-1.87915,4.14862,-6.61108
38,-1.87871,4.14939,-6.6135
39,-1.87847,4.15012,-6.61593
40,-1.87842,4.15083,-6.61834
41,-1.87855,4.1515,-6.6207
42,-1.87882,4.15214,-6.62299
43,-1.8792,4.15276,-6.62517
44,-1.87968,4.15337,-6.62724
45,-1.88022,4.15394,-6.6292
46,-1.8808,4.15449,-6.63097
47,-1.88138,4.15504,-6.6326
48,-1.88197,4.15557,-6.63403
49,-1.88254,4.15608,-6.63529
50,-1.88306,4.15658,-6.63632
51,-1.88354,4.15708,-6.63717
52,-1.88394,4.15757,-6.6378
53,-1.88427,4.15807,-6.6382
54,-1.88454,4.15855,-6.63841
55,-1.88473,4.15904,-6.63841
56,-1.88485,4.15953,-6.6382
57,-1.8849,4.16003,-6.63782
58,-1.88489,4.16053,-6.63723
59,-1.88484,4.16104,-6.63649
60,-1.88476,4.16156,-6.63559
61,-1.88467,4.16209,-6.63455
62,-1.88457,4.16264,-6.63337
63,-1.88449,4.16319,-6.63208
64,-1.88443,4.16376,-6.63069
65,-1.88444,4.16434,-6.62923
66,-1.88449,4.16495,-6.62768
67,-1.88463,4.16557,-6.62606
68,-1.88486,4.16621,-6.62441
69,-1.88519,4.16686,-6.62271
70,-1.88561,4.16753,-6.62097
71,-1.88617,4.16823,-6.61918
72,-1.88682,4.16895,-6.61738
73,-1.88759,4.16966,-6.61553
74,-1.88847,4.17041,-6.61365
75,-1.88945,4.17117,-6.61172
76,-1.89053,4.17194,-6.60977
77,-1.8917,4.17272,-6.60775
78,-1.89294,4.17352,-6.60571
79,-1.89423,4.17432,-6.6036
80,-1.89557,4.17511,-6.60144
81,-1.89693,4.1759,-6.5992
82,-1.89831,4.17669,-6.59691
83,-1.89969,4.17747,-6.59456
84,-1.90104,4.17823,-6.59214
85,-1.90235,4.17896,-6.58965
86,-1.9036,4.17969,-6.5871
87,-1.90478,4.18037,-6.5845
88,-1.90589,4.18101,-6.58185
89,-1.90691,4.18162,-6.57916
90,-1.90781,4.18217,-6.57643
91,-1.90862,4.18267,-6.57371
92,-1.90931,4.18313,-6.57098
93,-1.90988,4.18351,-6.56826
94,-1.91033,4.18383,-6.56558
95,-1.91066,4.18408,-6.56296
96,-1.91085,4.18425,-6.56038
97,-1.91094,4.18434,-6.55793
98,-1.91087,4.18436,-6.5556
99,-1.9107,4.18429,-6.55338
100,-1.9104,4.18414,-6.55132
101,-1.90998,4.1839,-6.54944
102,-1.90942,4.18357,-6.54775
103,-1.90873,4.18315,-6.54625
104,-1.9079,4.18267,-6.54497
105,-1.90693,4.18209,-6.5439
106,-1.90581,4.18145,-6.54305
107,-1.90452,4.18073,-6.5424
108,-1.90305,4.17994,-6.54198
109,-1.9014,4.17911,-6.54177
110,-1.89954,4.17822,-6.54171
111,-1.89746,4.17729,-6.54186
112,-1.89515,4.17634,-6.54213
113,-1.89259,4.17534,-6.54255
114,-1.88976,4.17436,-6.54307
115,-1.88665,4.17335,-6.54364
116,-1.88324,4.17235,-6.54429
117,-1.87953,4.17136,-6.54496
118,-1.8755,4.17039,-6.54562
119,-1.87115,4.16945,-6.54626
120,-1.86645,4.16853,-6.54684
121,-1.86142,4.16767,-6.54737
122,-1.85606,4.16684,-6.5478
123,-1.85036,4.16605,-6.5481
124,-1.84434,4.16532,-6.5483
125,-1.838,4.16464,-6.54835
126,-1.83135,4.16401,-6.54825
127,-1.82441,4.16343,-6.54798
128,-1.8172,4.1629,-6.54756
129,-1.80973,4.16244,-6.54698
130,-1.80205,4.16202,-6.54621
131,-1.79415,4.16164,-6.54527
132,-1.78608,4.16132,-6.54413
133,-1.77785,4.16105,-6.54283
134,-1.7695,4.16081,-6.54133
135,-1.76105,4.16063,-6.53965
136,-1.75255,4.1605,-6.53781
137,-1.74399,4.1604,-6.53576
138,-1.73542,4.16034,-6.53354
139,-1.72687,4.16033,-6.53112
140,-1.71835,4.16036,-6.5285
141,-1.7099,4.16046,-6.5257
142,-1.70153,4.16059,-6.52271
143,-1.69328,4.16077,-6.51953
144,-1.68516,4.16101,-6.51614
145,-1.67721,4.16131,-6.51259
146,-1.66943,4.16166,-6.50885
147,-1.66186,4.1621,-6.50493
148,-1.6545,4.1626,-6.50085
149,-1.64739,4.16318,-6.49662
150,-1.64055,4.16384,-6.49227
151,-1.63399,4.16458,-6.48781
152,-1.62775,4.1654,-6.48325
153,-1.62183,4.16633,-6.47864
154,-1.61628,4.16734,-6.47401
155,-1.61109,4.16844,-6.46939
156,-1.60629,4.16963,-6.4648
157,-1.60192,4.17091,-6.46032
158,-1.59798,4.17228,-6.45595
159,-1.59451,4.17373,-6.45174
160,-1.59151,4.17528,-6.44775
161,-1.589,4.17689,-6.44399
162,-1.58702,4.17857,-6.44055
163,-1.58555,4.18032,-6.43742
164,-1.58464,4.18213,-6.43466
165,-1.58429,4.184,-6.43231
166,-1.5845,4.1859,-6.43042
167,-1.58531,4.18784,-6.42899
168,-1.5867,4.18981,-6.42808
169,-1.5887,4.1918,-6.42769
170,-1.5913,4.19379,-6.42788
171,-1.59453,4.19577,-6.42866
172,-1.59836,4.19775,-6.43002
173,-1.60284,4.19971,-6.43202
174,-1.60793,4.20164,-6.43462
175,-1.61366,4.20354,-6.43786
176,-1.62001,4.20538,-6.44175
177,-1.627,4.20718,-6.44627
178,-1.63462,4.20892,-6.45137
179,-1.64287,4.2106,-6.45712
180,-1.65175,4.21221,-6.46346
181,-1.66126,4.21374,-6.47037
182,-1.67139,4.2152,-6.47783
183,-1.68214,4.2166,-6.48584
184,-1.69349,4.21792,-6.49434
185,-1.70545,4.21917,-6.50332
186,-1.71799,4.22036,-6.51275
187,-1.7311,4.22149,-6.52257
188,-1.74475,4.22257,-6.53278
189,-1.75893,4.22361,-6.5433
190,-1.77361,4.22462,-6.55414
191,-1.78875,4.2256,-6.56525
192,-1.80433,4.22659,-6.57656
193,-1.82029,4.22757,-6.58806
194,-1.83659,4.22857,-6.59971
195,-1.8532,4.22959,-6.61146
196,-1.87007,4.23067,-6.62325
197,-1.88712,4.2318,-6.63507
198,-1.9043,4.23299,-6.64684
199,-1.92155,4.23427,-6.65856
200,-1.93882,4.23564,-6.67014
201,-1.95602,4.23711,-6.68157
202,-1.9731,4.23869,-6.6928
203,-1.98998,4.24038,-6.7038
204,-2.0066,4.2422,-6.71451
205,-2.02286,4.24413,-6.72492
206,-2.03871,4.24618,-6.73497
207,-2.05409,4.24835,-6.74466
208,-2.06889,4.25062,-6.75393
209,-2.08308,4.253,-6.76278
210,-2.09656,4.25547,-6.77116
211,-2.10931,4.25802,-6.77905
212,-2.12123,4.26063,-6.78645
213,-2.13228,4.26329,-6.79332
214,-2.14241,4.26599,-6.79963
215,-2.15157,4.26869,-6.8054
216,-2.15971,4.27139,-6.8106
217,-2.1668,4.27405,-6.81519
218,-2.1728,4.27668,-6.81918
219,-2.17769,4.27924,-6.82257
220,-2.18145,4.28171,-6.82536
221,-2.18406,4.28407,-6.8275
222,-2.18552,4.28632,-6.82904
223,-2.18582,4.28844,-6.82995
224,-2.18498,4.29039,-6.83023
225,-2.183,4.29218,-6.8299
226,-2.1799,4.2938,-6.82895
227,-2.17572,4.29524,-6.82742
228,-2.17048,4.2965,-6.82529
229,-2.16422,4.29754,-6.82257
230,-2.157,4.29839,-6.81933
231,-2.14887,4.29904,-6.81555
232,-2.13988,4.29949,-6.81127
233,-2.1301,4.29974,-6.80651
234,-2.11958,4.2998,-6.80133
235,-2.10843,4.29965,-6.79575
236,-2.0967,4.29933,-6.7898
237,-2.08448,4.29883,-6.78356
238,-2.07186,4.29815,-6.77705
239,-2.05893,4.2973,-6.77034
240,-2.04576,4.29631,-6.76346
241,-2.03246,4.29517,-6.75652
242,-2.0191,4.2939,-6.74951
243,-2.00579,4.2925,-6.74255
244,-1.9926,4.29098,-6.73568
245,-1.97963,4.28936,-6.72895
246,-1.96695,4.28765,-6.72245
247,-1.95466,4.28586,-6.71621
248,-1.94281,4.284,-6.71028
249,-1.93149,4.28207,-6.70474
250,-1.92075,4.2801,-6.69963
251,-1.91067,4.27808,-6.69497
252,-1.9013,4.27604,-6.69083
253,-1.89269,4.27398,-6.68722
254,-1.88486,4.2719,-6.68419
255,-1.87788,4.26983,-6.68173
256,-1.87175,4.26777,-6.67987
257,-1.86649,4.26572,-6.67863
258,-1.86213,4.26372,-6.67799
259,-1.85866,4.26175,-6.67794
260,-1.85608,4.25983,-6.67848
261,-1.85439,4.25796,-6.67958
262,-1.85357,4.25615,-6.68122
263,-1.85361,4.2544,-6.68335
264,-1.85448,4.25273,-6.68597
265,-1.85613,4.25113,-6.68902
266,-1.85855,4.24962,-6.69245
267,-1.86171,4.24818,-6.69625
268,-1.86554,4.24681,-6.70035
269,-1.87,4.24554,-6.7047
270,-1.87505,4.24436,-6.70929
271,-1.88063,4.24325,-6.71404
