,X,Y,Z
6,-1.07815,2.26482,-3.09816
7,-1.07949,2.26403,-3.10058
8,-1.08054,2.26332,-3.10247
9,-1.08152,2.26268,-3.10423
10,-1.08228,2.26211,-3.10575
11,-1.08283,2.26163,-3.10684
12,-1.08331,2.26121,-3.10763
13,-1.08362,2.2609,-3.10808
14,-1.08386,2.26066,-3.10838
15,-1.08397,2.26049,-3.1082
16,-1.0839,2.26043,-3.10773
17,-1.08381,2.26045,-3.10696
18,-1.08374,2.26055,-3.10601
19,-1.08359,2.26077,-3.10463
20,-1.08342,2.26105,-3.10298
21,-1.08329,2.26144,-3.1011
22,-1.08328,2.26193,-3.09904
23,-1.08328,2.26251,-3.09666
24,-1.08339,2.26318,-3.09418
25,-1.08367,2.26394,-3.09144
26,-1.0841,2.26479,-3.08857
27,-1.08472,2.26571,-3.08557
28,-1.08548,2.26672,-3.08231
29,-1.08637,2.26781,-3.07869
30,-1.08732,2.26896,-3.07491
31,-1.08834,2.27017,-3.07073
32,-1.08947,2.27143,-3.066
33,-1.09042,2.27272,-3.06059
34,-1.09132,2.27405,-3.05458
35,-1.09199,2.27538,-3.04761
36,-1.09226,2.27672,-3.0395
37,-1.09206,2.27802,-3.03022
38,-1.09114,2.27928,-3.01953
39,-1.08942,2.2805,-3.00693
40,-1.08681,2.28159,-2.99267
41,-1.08297,2.28256,-2.97635
42,-1.07772,2.28339,-2.95783
43,-1.07095,2.28404,-2.93707
44,-1.06249,2.28447,-2.91371
45,-1.0522,2.28465,-2.88783
46,-1.03988,2.28459,-2.85963
47,-1.02534,2.28425,-2.82852
48,-1.00855,2.28359,-2.79528
49,-0.989476,2.28265,-2.75946
50,-0.968028,2.28138,-2.72138
51,-0.944166,2.27982,-2.68131
52,-0.91808,2.27793,-2.63942
53,-0.889785,2.27577,-2.59601
54,-0.859325,2.27335,-2.55148
55,-0.826963,2.27067,-2.50594
56,-0.792818,2.26778,-2.46025
57,-0.757307,2.26472,-2.41441
58,-0.720555,2.26151,-2.36875
59,-0.68283,2.25819,-2.32387
60,-0.644522,2.25482,-2.28001
61,-0.606015,2.25142,-2.23775
62,-0.567617,2.24805,-2.19708
63,-0.529631,2.24473,-2.15865
64,-0.492448,2.24151,-2.12252
65,-0.456434,2.23841,-2.08915
66,-0.421881,2.23548,-2.05858
67,-0.389169,2.23273,-2.03122
68,-0.358559,2.23019,-2.007
69,-0.330295,2.22785,-1.98625
70,-0.304687,2.22577,-1.96909
71,-0.281888,2.22394,-1.95559
72,-0.262012,2.22235,-1.94577
73,-0.245379,2.22103,-1.93958
74,-0.231863,2.21997,-1.93701
75,-0.22155,2.21916,-1.93821
76,-0.214533,2.21861,-1.94289
77,-0.210644,2.21829,-1.95107
78,-0.20989,2.21819,-1.96255
79,-0.212123,2.21832,-1.9771
80,-0.217162,2.21864,-1.99476
81,-0.224935,2.21915,-2.0154
82,-0.235098,2.21979,-2.03833
83,-0.247637,2.22059,-2.06395
