,X,Y,Z
7,8.7536,1.32012,8.00069
8,8.89809,1.31779,7.98047
9,9.05442,1.31425,7.96358
10,9.22258,1.30953,7.95038
11,9.40276,1.30367,7.94099
12,9.59499,1.29671,7.9355
13,9.7995,1.28867,7.9344
14,10.0165,1.27955,7.93789
15,10.2463,1.26933,7.94629
16,10.4892,1.2579,7.96004
17,10.7455,1.24513,7.97932
18,11.0156,1.23081,8.00446
19,11.3,1.2146,8.03544
20,11.5991,1.19618,8.07196
21,11.9133,1.17511,8.11367
22,12.243,1.15096,8.15943
23,12.5886,1.12332,8.2078
24,12.9506,1.09188,8.25681
25,13.3292,1.05638,8.30406
26,13.7249,1.01679,8.34682
27,14.1379,0.973236,8.38208
28,14.5685,0.926062,8.40642
29,15.0169,0.875789,8.41652
30,15.4831,0.82322,8.40904
31,15.9674,0.769243,8.38114
32,16.4697,0.714993,8.33037
33,16.9901,0.661564,8.2552
34,17.5287,0.610129,8.15502
35,18.0854,0.561694,8.03041
36,18.6605,0.517191,7.88317
37,19.2539,0.477322,7.71642
38,19.8656,0.442462,7.53444
39,20.4957,0.41265,7.34306
40,21.1443,0.387536,7.14895
41,21.8111,0.366316,6.95998
42,22.4961,0.347824,6.78441
43,23.1989,0.330342,6.631
44,23.9191,0.311879,6.50803
45,24.6559,0.29003,6.4233
46,25.4085,0.262155,6.38365
47,26.1759,0.225483,6.39456
48,26.9567,0.177223,6.4599
49,27.7493,0.114699,6.58212
50,28.5521,0.0354625,6.76197
51,29.363,-0.0625082,6.99868
52,30.1802,-0.180762,7.29048
53,31.0015,-0.320242,7.63425
54,31.8249,-0.481175,8.02627
55,32.648,-0.66309,8.4621
56,33.4688,-0.864727,8.93684
57,34.2846,-1.08409,9.44504
58,35.093,-1.31851,9.98076
59,35.891,-1.56483,10.5375
60,36.6752,-1.8194,11.1078
61,37.4418,-2.07829,11.6839
62,38.1868,-2.33756,12.2569
63,38.9055,-2.59325,12.8175
64,39.593,-2.84157,13.3561
65,40.2442,-3.07903,13.8628
66,40.8541,-3.30261,14.3282
67,41.4178,-3.50983,14.7439
68,41.9311,-3.69857,15.1028
69,42.3902,-3.86738,15.3998
70,42.7921,-4.01531,15.6316
71,43.135,-4.14186,15.7973
72,43.4174,-4.24687,15.898
73,43.639,-4.33054,15.9367
74,43.8,-4.3933,15.9182
75,43.9015,-4.43587,15.8485
76,43.945,-4.45899,15.7345
77,43.9325,-4.46366,15.584
78,43.8664,-4.45085,15.4049
79,43.7494,-4.42164,15.2052
80,43.5843,-4.37711,14.9926
81,43.374,-4.31832,14.7741
82,43.1215,-4.24642,14.5562
83,42.8296,-4.16248,14.3437
84,42.501,-4.06771,14.1408
85,42.1383,-3.96313,13.9502
86,41.7438,-3.85004,13.7739
87,41.3197,-3.72958,13.6125
88,40.868,-3.603,13.4662
89,40.3905,-3.47155,13.3342
90,39.8887,-3.33641,13.2149
91,39.3638,-3.1987,13.1061
92,38.8168,-3.05953,13.0049
93,38.2486,-2.91991,12.908
94,37.66,-2.78074,12.8109
95,37.0514,-2.64271,12.7096
96,36.4233,-2.50653,12.5996
97,35.7764,-2.37262,12.4769
98,35.1111,-2.2414,12.3381
99,34.4281,-2.11307,12.1805
100,33.7278,-1.98773,12.0029
101,33.011,-1.86542,11.8052
102,32.2782,-1.74604,11.5884
103,31.5302,-1.62951,11.3548
104,30.7674,-1.51574,11.1077
105,29.9903,-1.40452,10.8508
106,29.1995,-1.29574,10.5881
107,28.3949,-1.18921,10.3236
108,27.5769,-1.08476,10.0607
109,26.7453,-0.982212,9.80219
110,25.9,-0.8814,9.55025
111,25.0409,-0.782134,9.30605
112,24.1679,-0.684289,9.07001
113,23.281,-0.587713,8.84208
114,22.3803,-0.492402,8.62168
115,21.4661,-0.398345,8.40831
116,20.5394,-0.305656,8.20118
117,19.6011,-0.214576,8.00005
118,18.6528,-0.125326,7.8049
119,17.6966,-0.0382819,7.61619
120,16.7347,0.0462388,7.43488
121,15.7701,0.127923,7.26229
122,14.806,0.206455,7.1002
123,13.8462,0.281665,6.95019
124,12.8947,0.353392,6.81385
125,11.9555,0.421647,6.69228
126,11.033,0.486472,6.58578
127,10.1317,0.548024,6.49388
128,9.25565,0.606551,6.41483
129,8.40897,0.662309,6.34604
130,7.59557,0.715591,6.28403
131,6.81907,0.766581,6.22478
132,6.08305,0.815394,6.1643
133,5.39082,0.862,6.09875
