,X,Y,Z
6,-0.978551,4.09217,-1.9
7,-0.986968,4.0929,-1.91172
8,-0.993805,4.09335,-1.92243
9,-0.999079,4.09353,-1.93174
10,-1.00283,4.09346,-1.9399
11,-1.00512,4.09311,-1.94713
12,-1.00611,4.09255,-1.95338
13,-1.00571,4.09172,-1.95854
14,-1.00411,4.09066,-1.96305
15,-1.00134,4.08938,-1.9666
16,-0.99754,4.08787,-1.96962
17,-0.992915,4.08616,-1.97206
18,-0.987334,4.08425,-1.97399
19,-0.981075,4.08214,-1.97552
20,-0.974239,4.0799,-1.97677
21,-0.967013,4.0775,-1.97778
22,-0.959387,4.07495,-1.97859
23,-0.951452,4.07233,-1.97931
24,-0.943481,4.06963,-1.97992
25,-0.935476,4.06688,-1.9806
26,-0.927701,4.06415,-1.98135
27,-0.920102,4.06144,-1.98213
28,-0.912814,4.05877,-1.98293
29,-0.905957,4.05618,-1.9838
30,-0.899525,4.05369,-1.98474
31,-0.893724,4.05136,-1.9859
32,-0.888506,4.04918,-1.98706
33,-0.883973,4.04717,-1.9883
34,-0.880038,4.04535,-1.98949
35,-0.876797,4.04373,-1.99075
36,-0.874251,4.04232,-1.99205
37,-0.872357,4.04115,-1.99317
38,-0.871188,4.04017,-1.99428
39,-0.870533,4.0394,-1.99506
40,-0.870493,4.03888,-1.99577
41,-0.87099,4.03856,-1.99627
42,-0.871962,4.03843,-1.99639
43,-0.873409,4.03848,-1.99631
44,-0.875361,4.03874,-1.99596
45,-0.87764,4.03917,-1.9953
46,-0.880242,4.03974,-1.99435
47,-0.883267,4.04047,-1.9932
48,-0.886531,4.04132,-1.99183
49,-0.890112,4.04228,-1.99023
50,-0.893936,4.04336,-1.98842
51,-0.898064,4.04451,-1.98678
52,-0.902404,4.04575,-1.98486
53,-0.906933,4.04703,-1.98307
54,-0.911661,4.04835,-1.98141
55,-0.916519,4.04969,-1.97971
56,-0.921525,4.05105,-1.97826
57,-0.926746,4.05239,-1.97691
58,-0.931904,4.05372,-1.97567
59,-0.937101,4.05499,-1.97445
60,-0.942243,4.05621,-1.97348
61,-0.947358,4.05738,-1.9725
62,-0.952261,4.05845,-1.97165
63,-0.956926,4.05943,-1.97043
64,-0.96132,4.06031,-1.96927
65,-0.965389,4.06107,-1.96793
66,-0.968984,4.06169,-1.96629
67,-0.972136,4.06218,-1.96422
68,-0.974742,4.06252,-1.96199
69,-0.976663,4.06271,-1.95904
70,-0.978029,4.06273,-1.95575
71,-0.978648,4.06257,-1.9519
72,-0.978488,4.06223,-1.94756
73,-0.977542,4.06172,-1.94257
74,-0.97578,4.06102,-1.937
75,-0.973275,4.06015,-1.93082
76,-0.969916,4.05907,-1.92418
77,-0.965707,4.05783,-1.91704
78,-0.96068,4.05642,-1.90931
79,-0.955004,4.05487,-1.9011
80,-0.948466,4.05314,-1.89244
81,-0.941319,4.05128,-1.88335
82,-0.933575,4.04933,-1.87401
83,-0.925308,4.04728,-1.86439
84,-0.916557,4.04513,-1.85456
85,-0.907488,4.04298,-1.8448
86,-0.898161,4.0408,-1.83478
87,-0.888607,4.03864,-1.82496
88,-0.878953,4.03651,-1.81532
89,-0.869359,4.03448,-1.80599
90,-0.859842,4.03255,-1.79694
91,-0.850597,4.03077,-1.78853
92,-0.841602,4.02914,-1.78046
93,-0.832926,4.02767,-1.77309
94,-0.824667,4.02641,-1.76636
95,-0.816978,4.02537,-1.76038
96,-0.809762,4.02452,-1.75508
97,-0.803203,4.0239,-1.75051
98,-0.797197,4.02349,-1.74661
99,-0.791775,4.02328,-1.74347
100,-0.787048,4.02328,-1.74101
101,-0.782821,4.02345,-1.73903
102,-0.779194,4.02378,-1.73782
103,-0.776028,4.02427,-1.73689
104,-0.773321,4.02486,-1.73643
105,-0.771006,4.02555,-1.73645
106,-0.769039,4.0263,-1.73674
107,-0.767239,4.02707,-1.73709
108,-0.76549,4.02785,-1.73763
109,-0.763811,4.02862,-1.73832
110,-0.761989,4.02931,-1.73886
111,-0.76,4.02994,-1.73932
112,-0.757538,4.03045,-1.73946
113,-0.754709,4.03085,-1.73932
114,-0.751263,4.03112,-1.73871
115,-0.747108,4.03123,-1.73769
116,-0.742138,4.03117,-1.73596
117,-0.736216,4.03095,-1.73355
118,-0.729392,4.03054,-1.7303
119,-0.721429,4.02998,-1.72629
120,-0.712238,4.02922,-1.72118
121,-0.701849,4.02825,-1.71526
122,-0.690069,4.02707,-1.70811
123,-0.676925,4.02571,-1.70016
124,-0.662312,4.02411,-1.69095
125,-0.646215,4.02227,-1.68087
126,-0.628526,4.02017,-1.66997
127,-0.609246,4.01779,-1.65808
128,-0.588245,4.01509,-1.64533
129,-0.565472,4.01205,-1.63187
130,-0.541059,4.00867,-1.61781
131,-0.51487,4.00491,-1.60336
132,-0.486946,4.00076,-1.58856
133,-0.457276,3.99618,-1.57325
134,-0.425812,3.99115,-1.55773
135,-0.392738,3.98572,-1.54219
136,-0.357946,3.97985,-1.52639
137,-0.321619,3.97357,-1.51052
138,-0.283831,3.9669,-1.49456
139,-0.244692,3.95986,-1.47857
140,-0.204357,3.9525,-1.46245
141,-0.162926,3.94485,-1.44593
142,-0.120452,3.93695,-1.42925
143,-0.0772722,3.92887,-1.41198
144,-0.033503,3.92066,-1.39437
145,0.0107499,3.91236,-1.37629
146,0.0552566,3.90405,-1.35751
147,0.0998947,3.89575,-1.33804
148,0.144377,3.88754,-1.31786
149,0.188639,3.87947,-1.29697
150,0.232589,3.87157,-1.27536
151,0.275926,3.86387,-1.25295
152,0.318569,3.85644,-1.22991
153,0.360487,3.84927,-1.20619
154,0.401439,3.84241,-1.18192
155,0.441507,3.83585,-1.15718
156,0.480543,3.82958,-1.13199
157,0.518701,3.82359,-1.10644
158,0.55595,3.81788,-1.08048
159,0.592299,3.81239,-1.05438
160,0.627986,3.80706,-1.02808
161,0.663004,3.80188,-1.00161
162,0.697587,3.79678,-0.975083
163,0.731878,3.79171,-0.948367
164,0.766185,3.7866,-0.921408
165,0.800459,3.78144,-0.894432
166,0.834986,3.77615,-0.86732
167,0.869883,3.7707,-0.839847
168,0.905362,3.76504,-0.812043
169,0.94162,3.75915,-0.784058
170,0.978664,3.753,-0.75571
171,1.01674,3.74654,-0.727125
172,1.056,3.73974,-0.698316
173,1.09666,3.7326,-0.669352
174,1.13886,3.72503,-0.640212
175,1.18279,3.71703,-0.611192
176,1.22877,3.70852,-0.582462
177,1.2771,3.69948,-0.554068
178,1.32822,3.68981,-0.526457
179,1.38242,3.67948,-0.4995
180,1.4402,3.66844,-0.473584
181,1.50205,3.65665,-0.448746
182,1.56866,3.64405,-0.425302
183,1.6405,3.63064,-0.403205
184,1.7183,3.61641,-0.382658
185,1.80292,3.60136,-0.363539
186,1.89507,3.58553,-0.34581
187,1.99562,3.56896,-0.32945
188,2.10542,3.55174,-0.31419
189,2.22545,3.53394,-0.299799
190,2.35659,3.51565,-0.28618
191,2.49979,3.49703,-0.272766
192,2.656,3.47819,-0.259329
193,2.82596,3.45935,-0.245535
194,3.01055,3.44067,-0.230766
195,3.21039,3.42235,-0.214767
196,3.42609,3.40462,-0.197354
197,3.65835,3.38766,-0.177678
