,X,Y,Z
7,-5.48788,4.02052,-5.95277
8,-5.96517,3.94746,-6.20209
9,-6.3786,3.87829,-6.42615
10,-6.7275,3.81363,-6.62385
11,-7.01128,3.75415,-6.79363
12,-7.22948,3.70058,-6.93399
13,-7.38201,3.65367,-7.04341
14,-7.46941,3.61411,-7.12121
15,-7.49294,3.58247,-7.16717
16,-7.45497,3.55913,-7.18244
17,-7.35902,3.54434,-7.1691
18,-7.20996,3.53805,-7.13093
19,-7.01416,3.54001,-7.07292
20,-6.77937,3.54976,-7.00132
21,-6.5147,3.56663,-6.92308
22,-6.23062,3.58973,-6.84557
23,-5.93812,3.61809,-6.77601
24,-5.64888,3.65059,-6.72086
25,-5.37423,3.68603,-6.68466
26,-5.12472,3.72311,-6.67014
27,-4.90935,3.76058,-6.67733
28,-4.73489,3.79716,-6.70338
29,-4.6054,3.83174,-6.74267
30,-4.52174,3.86342,-6.78704
31,-4.48138,3.89172,-6.82659
32,-4.47866,3.91656,-6.85055
33,-4.50536,3.93839,-6.84894
34,-4.55118,3.95815,-6.81358
35,-4.60505,3.97713,-6.73961
36,-4.65596,3.99682,-6.62597
37,-4.69402,4.01868,-6.47542
38,-4.71117,4.04401,-6.29397
39,-4.70163,4.07372,-6.08985
40,-4.66207,4.10826,-5.8717
41,-4.59149,4.14767,-5.64726
42,-4.49075,4.19153,-5.4224
43,-4.3625,4.23911,-5.20036
44,-4.21016,4.28943,-4.98187
45,-4.03789,4.34146,-4.7657
46,-3.84983,4.3941,-4.54961
47,-3.65033,4.44636,-4.3314
48,-3.44337,4.49737,-4.10997
49,-3.23297,4.5463,-3.88569
50,-3.02277,4.59258,-3.66085
51,-2.81625,4.63573,-3.43902
52,-2.61641,4.67546,-3.22448
53,-2.42586,4.71158,-3.02158
54,-2.24666,4.74407,-2.83388
55,-2.08037,4.77301,-2.66429
56,-1.92795,4.79856,-2.51418
57,-1.7899,4.82098,-2.384
58,-1.66632,4.84056,-2.27332
59,-1.55687,4.85771,-2.18061
60,-1.461,4.87285,-2.10432
61,-1.37798,4.88643,-2.04259
62,-1.30689,4.89893,-1.99362
63,-1.24671,4.91083,-1.95596
